PortNo,PortfolioName,PeriodEndDateType,PeriodEndDate,AccessionId,Report URL
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312515178612,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178612&SequenceNum=1
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312515178738,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178738&SequenceNum=1
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312515178888,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178888&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312514391583,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391583&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312514391840,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391840&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312514391940,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391940&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312514392054,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514392054&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312515178587,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178587&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312515178598,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178598&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312515178612,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178612&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312515178738,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178738&SequenceNum=1
223640,GS FnclSq Treasury Sol MM,ANNUAL,31.08.2014,119312515178888,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178888&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312514391583,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391583&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312514391840,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391840&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312514391940,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391940&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312514392054,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514392054&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312515178587,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178587&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312515178598,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178598&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312515178612,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178612&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312515178738,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178738&SequenceNum=1
244510,GS Strategic Growth,ANNUAL,31.08.2014,119312515178888,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178888&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312514391583,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391583&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312514391840,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391840&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312514391940,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391940&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312514392054,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514392054&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312515178587,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178587&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312515178598,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178598&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312515178612,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178612&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312515178738,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178738&SequenceNum=1
244490,GS Growth Opportunities,ANNUAL,31.08.2014,119312515178888,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178888&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312514391583,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391583&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312514391840,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391840&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312514391940,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391940&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312514392054,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514392054&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312515178587,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178587&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312515178598,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178598&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312515178612,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178612&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312515178738,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178738&SequenceNum=1
244500,GS Technology Opportunities,ANNUAL,31.08.2014,119312515178888,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178888&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312514391583,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391583&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312514391840,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391840&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312514391940,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391940&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312514392054,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514392054&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312515178587,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178587&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312515178598,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178598&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312515178612,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178612&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312515178738,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178738&SequenceNum=1
246540,GS Large Cap Value,ANNUAL,31.08.2014,119312515178888,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178888&SequenceNum=1
160140,Wells Fgo Idx Ast Alloc,ANNUAL,30.09.2014,119312514425343,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514425343&SequenceNum=1
231880,Wells Fgo CB Mid Cap Val,ANNUAL,30.09.2014,119312514425343,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514425343&SequenceNum=1
770361,Wells Fgo Glb Divd Opp,ANNUAL,31.10.2014,119312514457038,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457038&SequenceNum=1
272820,Wells Fgo Mult Sec Inc,ANNUAL,31.10.2014,119312515000395,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515000395&SequenceNum=1
228390,Wells Fgo Div Intl,ANNUAL,31.10.2014,119312514457077,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457077&SequenceNum=1
776951,American College 2030,ANNUAL,31.10.2014,5193114001428,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001428&SequenceNum=1
776950,American College 2027,ANNUAL,31.10.2014,5193114001428,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001428&SequenceNum=1
776949,American College 2024,ANNUAL,31.10.2014,5193114001428,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001428&SequenceNum=1
776948,American College 2021,ANNUAL,31.10.2014,5193114001428,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001428&SequenceNum=1
776947,American College 2018,ANNUAL,31.10.2014,5193114001428,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001428&SequenceNum=1
776946,American College 2015,ANNUAL,31.10.2014,5193114001428,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001428&SequenceNum=1
776952,American College Enrollment,ANNUAL,31.10.2014,5193114001428,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001428&SequenceNum=1
776179,American Preservation Port,ANNUAL,31.10.2014,5193114001429,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001429&SequenceNum=1
776177,American TxEx Preservation Port,ANNUAL,31.10.2014,5193114001429,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=5193114001429&SequenceNum=1
113390,DFA US Micro Cap,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113350,DFA 1 Year Fixed Income,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113320,DFA Japanese Small Co,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113370,DFA United Kingdom Small Co,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113280,DFA Short Term Government,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113250,DFA Continental Small Co,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113300,DFA Intrmd Govt Fxd Inc,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113290,DFA 5 Year Global Fixed Income,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113360,DFA Asia Pacific Small Co,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113330,DFA Large Cap Intl,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113380,DFA US Small Cap,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113420,DFA Real Estate Securities,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113340,DFA US Large Cap Value,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
113410,DFA US Small Cap Value,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
232600,LWAS/DFA Intl Hi Book to Markt,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
173550,DFA Intl Small Cap Value,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
230840,DFA Enhanced US Large Co,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
217620,DFA 2 Year Global Fixed Income,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
230850,DFA Intl Small Co,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
252870,DFA US Targeted Value,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
239530,DFA Tax Mngd US Mktwide Value,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
239510,DFA Tax Mngd US Targeted Value,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
239520,DFA Tax Mngd US Small Cap,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
243380,DFA Tax Mngd Intl Value,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
262610,DFA Tax Mngd US Equity,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
268430,DFA Short Term Municipal Bond,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
767747,DFA Emerging Markets Core Eqty,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
768201,DFA US Core Equity 1,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
768202,DFA US Core Equity 2,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
768204,DFA Intl Core Equity,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
768203,DFA US Vector Equity,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
769273,DFA Emerging Mkts Soc Core Eq,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
769392,DFA Inflation Protected Sec,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
769726,DFA Intl Real Estate Sec,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
770336,DFA CA Short Term Muni Bond,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
770337,DFA TA US Core Equity 2,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
775640,DFA World ex US Govt Fixed Inc,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
776721,DFA Intl Social Core Equity,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
776722,DFA World ex US Targeted Value,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
777134,DFA World ex US Core Equity,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
776958,DFA Intl Small Cap Growth,ANNUAL,31.10.2014,119312515003661,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003661&SequenceNum=1
238180,DFA Emerging Markets Value,ANNUAL,31.10.2014,119312515003664,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003664&SequenceNum=1
113310,DFA Intl Value,ANNUAL,31.10.2014,119312515003670,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003670&SequenceNum=1
240240,LWAS/DFA US High Book to Markt,ANNUAL,31.10.2014,119312515003670,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003670&SequenceNum=1
240220,LWAS/DFA 2 Year Fixed Income,ANNUAL,31.10.2014,119312515003670,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003670&SequenceNum=1
240230,LWAS/DFA 2 Year Government,ANNUAL,31.10.2014,119312515003670,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003670&SequenceNum=1
251200,DFA US Large Company,ANNUAL,31.10.2014,119312515003670,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003670&SequenceNum=1
278530,DFA Global Equity Port,ANNUAL,31.10.2014,119312515003670,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003670&SequenceNum=1
278520,DFA Global 60/40 Port,ANNUAL,31.10.2014,119312515003670,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003670&SequenceNum=1
278510,DFA Global 25/75 Port,ANNUAL,31.10.2014,119312515003670,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515003670&SequenceNum=1
125420,GS Income Builder,ANNUAL,31.10.2014,119312514457841,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457841&SequenceNum=1
125420,GS Income Builder,ANNUAL,31.10.2014,119312514457842,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457842&SequenceNum=1
125420,GS Income Builder,ANNUAL,31.10.2014,119312514457844,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457844&SequenceNum=1
125420,GS Income Builder,ANNUAL,31.10.2014,119312514457845,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457845&SequenceNum=1
125420,GS Income Builder,ANNUAL,31.10.2014,119312514457847,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457847&SequenceNum=1
125420,GS Income Builder,ANNUAL,31.10.2014,119312514457849,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457849&SequenceNum=1
125420,GS Income Builder,ANNUAL,31.10.2014,119312514457850,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457850&SequenceNum=1
125420,GS Income Builder,ANNUAL,31.10.2014,119312514457852,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457852&SequenceNum=1
125610,GS Focused International Equity,ANNUAL,31.10.2014,119312514457841,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457841&SequenceNum=1
125610,GS Focused International Equity,ANNUAL,31.10.2014,119312514457842,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457842&SequenceNum=1
125610,GS Focused International Equity,ANNUAL,31.10.2014,119312514457844,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457844&SequenceNum=1
125610,GS Focused International Equity,ANNUAL,31.10.2014,119312514457845,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457845&SequenceNum=1
125610,GS Focused International Equity,ANNUAL,31.10.2014,119312514457847,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514457847&SequenceNum=1
